SALE_DATE,TOTAL_SALES,TOTAL_QTY,TRANSACTIONS,ROLLING_7_DAY,ROLLING_30_DAY,LAG_1_DAY,LAG_7_DAY,LAG_30_DAY
2025-07-18,6289.233117,2294.0,940,4861.9288480000005,5337.3099938,4146.891232,6404.306338,4460.373148
2025-07-19,5543.219762,2237.0,861,4631.047868,5357.4269304,6289.233117,7159.386622,4939.711664
2025-07-20,4063.388042,1671.0,740,4648.854518142857,5350.6055845,5543.219762,3938.741491,4268.028419
2025-07-21,3887.9613799999997,1523.0,676,4639.9097248571425,5317.9634006666665,4063.388042,3950.574933,4867.226895
2025-07-22,4408.871067,1738.0,769,4659.193462428571,5196.0792624000005,3887.9613799999997,4273.884904,8065.395215
2025-07-23,4767.084851,1857.0,763,4729.521350142857,5133.4443519666665,4408.871067,4274.789637,6646.132164
2025-07-24,4261.107692,1656.0,766,4745.837987285714,5151.845468166666,4767.084851,4146.891232,3709.074206
2025-07-25,5979.109451,2364.0,968,4701.534606428571,5221.235076333334,4261.107692,6289.233117,3897.421206
2025-07-26,6723.043026,2169.0,830,4870.080787,5291.6857365333335,5979.109451,5543.219762,4609.52322
2025-07-27,3794.726123,1554.0,737,4831.700512857143,5242.943832966667,6723.043026,4063.388042,5256.98323
2025-07-28,4280.566343,1614.0,727,4887.7869361428575,5233.036505433333,3794.726123,3887.9613799999997,4577.786169
2025-07-29,4622.78945,1856.0,832,4918.346705142858,5147.6649993,4280.566343,4408.871067,7183.934634
2025-07-30,4574.0262,1840.0,780,4890.766897857144,5101.322103533333,4622.78945,4767.084851,5964.313073
2025-07-31,5418.146223,1987.0,839,5056.058116571429,5147.773534966666,4574.0262,4261.107692,4024.60328
2025-08-01,6348.769623,2188.0,916,5108.866712571428,5220.262863666666,5418.146223,5979.109451,4174.089762
2025-08-02,5903.066165,2468.0,977,4991.727161000001,5239.169126,6348.769623,6723.043026,5335.8782949999995
2025-08-03,4210.909687,1699.0,751,5051.181955857143,5185.945285433333,5903.066165,3794.726123,5807.624904
2025-08-04,4519.589663,1509.0,723,5085.328144428572,5199.769943666667,4210.909687,4280.566343,4104.849916
2025-08-05,5446.473181,1787.0,785,5202.997248857143,4916.279342033333,4519.589663,4622.78945,13951.19123
2025-08-06,4072.7329,1704.0,761,5131.383920285713,4906.765059266666,5446.473181,4574.0262,4358.161383
2025-08-07,4469.326166,1682.0,770,4995.838197857143,4896.405888966667,4072.7329,5418.146223,4780.101275
2025-08-08,6048.922561,2296.0,964,4953.002903285715,4955.092153333333,4469.326166,6348.769623,4288.33463
2025-08-09,5591.014623,2099.0,849,4908.424111571428,4979.0884151,6048.922561,5903.066165,4871.12677
2025-08-10,2999.604864,1478.0,676,4735.380565428571,4865.598365966667,5591.014623,4210.909687,6404.306338
2025-08-11,4359.153,1605.0,738,4712.461042142858,4772.2572452333325,2999.604864,4519.589663,7159.386622
2025-08-12,5054.171442,2065.0,872,4656.417936571428,4809.4382436,4359.153,5446.473181,3938.741491
2025-08-13,5043.643089,2203.0,915,4795.119392142858,4845.8738488,5054.171442,4072.7329,3950.574933
2025-08-14,4067.062835,1902.0,794,4737.653202,4838.979779833333,5043.643089,4469.326166,4273.884904
2025-08-15,7693.719771,2623.0,1052,4972.624232,4952.944117633334,4067.062835,6048.922561,4274.789637
2025-08-16,5926.671544,2309.0,919,5020.575220714286,5012.270128033332,7693.719771,5591.014623,4146.891232
2025-08-17,4042.766295,1747.0,762,5169.598282285714,4937.387900633333,5926.671544,2999.604864,6289.233117
2025-08-18,4756.461469,1843.0,787,5226.356634999999,4911.1626242,4042.766295,4359.153,5543.219762
2025-08-19,5104.629962,2012.0,873,5233.564995000001,4945.8706882,4756.461469,5054.171442,4063.388042
2025-08-20,4666.601594,2010.0,828,5179.701924285714,4971.8253620000005,5104.629962,5043.643089,3887.9613799999997
2025-08-21,4611.53077,2019.0,840,5257.483057857143,4978.580685433333,4666.601594,4067.062835,4408.871067
2025-08-22,6665.728276,2710.0,1094,5110.62713,5041.8687996,4611.53077,7693.719771,4767.084851
2025-08-23,6036.609785,2332.0,948,5126.332593,5101.0522027,6665.728276,5926.671544,4261.107692
